id,year,month,day,hour,minute,second,Humidity,Temperature (Celcius),Temperature (Fahrenheit),BOX 01 DoorStatus,BOX 02 DoorStatus,BOX 03 DoorStatus,BOX 04 DoorStatus,BOX 05 DoorStatus,BOX 06 DoorStatus
0,2016,12,14,11,37,10,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
1,2016,12,14,11,37,12,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
2,2016,12,14,11,37,14,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
3,2016,12,14,11,37,16,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
4,2016,12,14,11,37,19,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
5,2016,12,14,11,37,21,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
6,2016,12,14,11,37,23,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
7,2016,12,14,11,37,26,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
8,2016,12,14,11,37,28,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
9,2016,12,14,11,37,30,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
10,2016,12,14,11,37,32,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
11,2016,12,14,11,37,35,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
12,2016,12,14,11,37,37,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
13,2016,12,14,11,37,39,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
14,2016,12,14,11,37,41,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
15,2016,12,14,11,37,44,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
16,2016,12,14,11,37,46,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
17,2016,12,14,11,37,48,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
18,2016,12,14,11,37,51,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
19,2016,12,14,11,37,53,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
20,2016,12,14,11,37,55,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
21,2016,12,14,11,37,57,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
22,2016,12,14,11,38,0,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
23,2016,12,14,11,38,2,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
24,2016,12,14,11,38,4,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
25,2016,12,14,11,38,6,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
26,2016,12,14,11,38,9,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
27,2016,12,14,11,38,11,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
28,2016,12,14,11,38,13,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
29,2016,12,14,11,38,16,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
30,2016,12,14,11,38,18,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
31,2016,12,14,11,38,20,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
32,2016,12,14,11,38,22,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
33,2016,12,14,11,38,25,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
34,2016,12,14,11,38,27,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
35,2016,12,14,11,38,29,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
36,2016,12,14,11,38,31,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
37,2016,12,14,11,38,34,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
38,2016,12,14,11,38,36,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
39,2016,12,14,11,38,38,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
40,2016,12,14,11,38,41,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
41,2016,12,14,11,38,43,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
42,2016,12,14,11,38,45,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
43,2016,12,14,11,38,47,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
44,2016,12,14,11,38,50,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
45,2016,12,14,11,38,52,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
46,2016,12,14,11,38,54,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
47,2016,12,14,11,38,57,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
48,2016,12,14,11,38,59,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
49,2016,12,14,11,39,1,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
50,2016,12,14,11,39,3,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
51,2016,12,14,11,39,6,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
52,2016,12,14,11,39,8,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
53,2016,12,14,11,39,10,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
54,2016,12,14,11,39,12,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
55,2016,12,14,11,39,15,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
56,2016,12,14,11,39,17,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
57,2016,12,14,11,39,19,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
58,2016,12,14,11,39,22,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
59,2016,12,14,11,39,24,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
60,2016,12,14,11,39,26,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
61,2016,12,14,11,39,28,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
62,2016,12,14,11,39,31,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
63,2016,12,14,11,39,33,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
64,2016,12,14,11,39,35,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
65,2016,12,14,11,39,37,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
66,2016,12,14,11,39,40,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
67,2016,12,14,11,39,42,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
68,2016,12,14,11,39,44,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
69,2016,12,14,11,39,47,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
70,2016,12,14,11,39,49,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
71,2016,12,14,11,39,51,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
72,2016,12,14,11,39,53,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
73,2016,12,14,11,39,56,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
74,2016,12,14,11,39,58,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
75,2016,12,14,11,40,0,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
76,2016,12,14,11,40,3,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
77,2016,12,14,11,40,5,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
78,2016,12,14,11,40,7,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
79,2016,12,14,11,40,9,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
80,2016,12,14,11,40,12,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
81,2016,12,14,11,40,14,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
82,2016,12,14,11,40,16,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
83,2016,12,14,11,40,18,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
84,2016,12,14,11,40,21,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
85,2016,12,14,11,40,23,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
86,2016,12,14,11,40,25,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
87,2016,12,14,11,40,28,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
88,2016,12,14,11,40,30,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
89,2016,12,14,11,40,32,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
90,2016,12,14,11,40,34,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
91,2016,12,14,11,40,37,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
92,2016,12,14,11,40,39,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
93,2016,12,14,11,40,41,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
94,2016,12,14,11,40,43,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
95,2016,12,14,11,40,46,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
96,2016,12,14,11,40,48,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
97,2016,12,14,11,40,50,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
98,2016,12,14,11,40,53,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
99,2016,12,14,11,40,55,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
100,2016,12,14,11,40,57,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
101,2016,12,14,11,40,59,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
102,2016,12,14,11,41,2,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
103,2016,12,14,11,41,4,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
104,2016,12,14,11,41,6,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
105,2016,12,14,11,41,8,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
106,2016,12,14,11,41,11,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
107,2016,12,14,11,41,13,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
108,2016,12,14,11,41,15,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
109,2016,12,14,11,41,18,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
110,2016,12,14,11,41,20,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
111,2016,12,14,11,41,22,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
112,2016,12,14,11,41,24,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
113,2016,12,14,11,41,27,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
114,2016,12,14,11,41,29,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
115,2016,12,14,11,41,31,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
116,2016,12,14,11,41,34,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
117,2016,12,14,11,41,36,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
118,2016,12,14,11,41,38,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
119,2016,12,14,11,41,40,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
120,2016,12,14,11,41,43,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
121,2016,12,14,11,41,45,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
122,2016,12,14,11,41,47,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
123,2016,12,14,11,41,49,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
124,2016,12,14,11,41,52,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
125,2016,12,14,11,41,54,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
126,2016,12,14,11,41,56,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
127,2016,12,14,11,41,59,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
128,2016,12,14,11,42,1,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
129,2016,12,14,11,42,3,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
130,2016,12,14,11,42,5,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
131,2016,12,14,11,42,8,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
132,2016,12,14,11,42,10,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
133,2016,12,14,11,42,12,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
134,2016,12,14,11,42,14,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
135,2016,12,14,11,42,17,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
136,2016,12,14,11,42,19,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
