id,year,month,day,hour,minute,second,Humidity,Temperature (Celcius),Temperature (Fahrenheit)
0,2015,11,8,11,21,16,33.0,24.0,75.2
1,2015,11,8,11,21,19,33.0,24.0,75.2
2,2015,11,8,11,21,22,33.0,24.0,75.2
3,2015,11,8,11,21,24,33.0,24.0,75.2
4,2015,11,8,11,21,26,33.0,24.0,75.2
5,2015,11,8,11,21,29,33.0,24.0,75.2
6,2015,11,8,11,21,31,33.0,24.0,75.2
7,2015,11,8,11,21,33,33.0,24.0,75.2
8,2015,11,8,11,21,35,33.0,24.0,75.2
9,2015,11,8,11,21,38,33.0,24.0,75.2
10,2015,11,8,11,21,40,33.0,24.0,75.2
11,2015,11,8,11,21,42,33.0,24.0,75.2
12,2015,11,8,11,21,45,33.0,24.0,75.2
13,2015,11,8,11,21,47,33.0,24.0,75.2
14,2015,11,8,11,21,49,33.0,24.0,75.2
15,2015,11,8,11,21,51,33.0,24.0,75.2
16,2015,11,8,11,21,54,33.0,24.0,75.2
17,2015,11,8,11,21,56,33.0,24.0,75.2
18,2015,11,8,11,21,58,33.0,24.0,75.2
19,2015,11,8,11,22,0,33.0,24.0,75.2
20,2015,11,8,11,22,3,33.0,24.0,75.2
21,2015,11,8,11,22,5,33.0,24.0,75.2
22,2015,11,8,11,22,7,33.0,24.0,75.2
23,2015,11,8,11,22,10,33.0,24.0,75.2
24,2015,11,8,11,22,12,33.0,24.0,75.2
25,2015,11,8,11,22,14,33.0,24.0,75.2
26,2015,11,8,11,22,16,33.0,24.0,75.2
27,2015,11,8,11,22,19,33.0,24.0,75.2
28,2015,11,8,11,22,21,33.0,24.0,75.2
29,2015,11,8,11,22,23,33.0,24.0,75.2
30,2015,11,8,11,22,26,33.0,24.0,75.2
31,2015,11,8,11,22,28,33.0,24.0,75.2
32,2015,11,8,11,22,30,33.0,24.0,75.2
33,2015,11,8,11,22,32,33.0,24.0,75.2
34,2015,11,8,11,22,35,33.0,24.0,75.2
35,2015,11,8,11,22,37,33.0,24.0,75.2
36,2015,11,8,11,22,39,33.0,24.0,75.2
37,2015,11,8,11,22,41,33.0,24.0,75.2
38,2015,11,8,11,22,44,33.0,24.0,75.2
39,2015,11,8,11,22,46,33.0,24.0,75.2
40,2015,11,8,11,22,48,33.0,24.0,75.2
41,2015,11,8,11,22,51,33.0,24.0,75.2
42,2015,11,8,11,22,53,33.0,24.0,75.2
43,2015,11,8,11,22,55,33.0,24.0,75.2
44,2015,11,8,11,22,57,33.0,24.0,75.2
45,2015,11,8,11,23,0,33.0,24.0,75.2
